dataset,level,instance,scenario_seed,bks_cost,bks_method,bks_seed,bks_search_fe,witness_cost
addition_instances,M1,1,6101,3489.9215042075,witness,NaN,9000,3489.9215042075
addition_instances,M1,2,6102,3490.60296697375,witness,NaN,9000,3490.60296697375
addition_instances,M1,3,6103,3338.10651926144,restart,920302,9000,3489.89059281845
addition_instances,M1,4,6104,3480.38005300079,restart,920403,9000,3489.91923314473
addition_instances,M1,5,6105,3490.01893669433,witness,NaN,9000,3490.01893669433
addition_instances,M1,6,6106,3285.33112870971,observed_Restart,6106,9000,3490.27893870161
addition_instances,M1,7,6107,3491.03925667496,witness,NaN,9000,3491.03925667496
addition_instances,M1,8,6108,3491.65412981542,witness,NaN,9000,3491.65412981542
addition_instances,M1,9,6109,3341.49804451869,restart,920901,9000,3489.87731324602
addition_instances,M1,10,6110,3442.96743994192,observed_WarmStart,6110,9000,3490.38557065644
addition_instances,M2,1,6201,3492.50282253429,witness,NaN,9000,3492.50282253429
addition_instances,M2,2,6202,3492.62686447826,witness,NaN,9000,3492.62686447826
addition_instances,M2,3,6203,3490.64922050934,witness,NaN,9000,3490.64922050934
addition_instances,M2,4,6204,3494.42172838436,witness,NaN,9000,3494.42172838436
addition_instances,M2,5,6205,3492.73808270097,witness,NaN,9000,3492.73808270097
addition_instances,M2,6,6206,3491.13069729247,witness,NaN,9000,3491.13069729247
addition_instances,M2,7,6207,3491.10418023353,witness,NaN,9000,3491.10418023353
addition_instances,M2,8,6208,3491.1072691008,witness,NaN,9000,3491.1072691008
addition_instances,M2,9,6209,3487.17063082967,restart,921901,9000,3490.58511635792
addition_instances,M2,10,6210,3491.32214672256,witness,NaN,9000,3491.32214672256
addition_instances,M4,1,6301,3492.62874432733,witness,NaN,9000,3492.62874432733
addition_instances,M4,2,6302,3495.49317889264,witness,NaN,9000,3495.49317889264
addition_instances,M4,3,6303,3491.20822703812,witness,NaN,9000,3491.20822703812
addition_instances,M4,4,6304,3491.63885231099,witness,NaN,9000,3491.63885231099
addition_instances,M4,5,6305,3493.12440005459,witness,NaN,9000,3493.12440005459
addition_instances,M4,6,6306,3492.18623270377,witness,NaN,9000,3492.18623270377
addition_instances,M4,7,6307,3493.58181375159,witness,NaN,9000,3493.58181375159
addition_instances,M4,8,6308,3491.04674436958,witness,NaN,9000,3491.04674436958
addition_instances,M4,9,6309,3490.90694476991,witness,NaN,9000,3490.90694476991
addition_instances,M4,10,6310,3491.80416143542,witness,NaN,9000,3491.80416143542
addition_stress_instances,Near,1,8101,3472.65736812924,observed_Restart,8101,9000,4201.28171280685
addition_stress_instances,Near,2,8102,3492.17238466647,observed_WarmStart,8102,9000,4201.28171280685
addition_stress_instances,Near,3,8103,3492.17238466647,observed_WarmStart,8103,9000,4201.28171280685
addition_stress_instances,Near,4,8104,3492.17238466647,observed_WarmStart,8104,9000,4201.28171280685
addition_stress_instances,Near,5,8105,3492.17238466647,observed_WarmStart,8105,9000,4201.28171280685
addition_stress_instances,Far,1,8201,4536.74444807543,restart,930603,9000,5613.80230968909
addition_stress_instances,Far,2,8202,4402.27337958736,observed_Restart,8202,9000,5613.80230968909
addition_stress_instances,Far,3,8203,3984.24742296694,restart,930801,9000,5613.80230968909
addition_stress_instances,Far,4,8204,4089.41723957173,observed_Restart,8204,9000,5613.80230968909
addition_stress_instances,Far,5,8205,4598.10628105111,observed_WarmStart,8205,9000,5613.80230968909
addition_stress_instances,Tight,1,8301,3492.17238466647,observed_WarmStart,8301,9000,4201.28171280685
addition_stress_instances,Tight,2,8302,3492.17238466647,observed_WarmStart,8302,9000,4201.28171280685
addition_stress_instances,Tight,3,8303,3492.17238466647,observed_WarmStart,8303,9000,4201.28171280685
addition_stress_instances,Tight,4,8304,3492.17238466647,observed_WarmStart,8304,9000,4201.28171280685
addition_stress_instances,Tight,5,8305,3492.17238466647,observed_WarmStart,8305,9000,4201.28171280685
